pedido_id,item_nome,quantidade,observacao,horario
A1,Combinado Especial Sushi 2 pessoas,1,,20:12
A1,Coca-Cola Lata 350ml,2,,20:12
A2,Uramaki Ebiten,2,,20:31
A2,Hot Roll Tatá,1,,20:31
A3,Sushi de Salmão,2,,21:03
A3,Sashimi de Atum,1,,21:03
A3,Temaki de Salmão,1,,21:03
A3,Mochi,1,,21:03
A4,Yakissoba de Frango,1,,21:40
A4,Guioza,1,,21:40
A4,Coca-Cola Lata 350ml,1,,21:40
A5,Combinado Tradicional Sushi 2 pessoas,1,"sem cebolinha, caprichar no wasabi",22:05
A5,Uramaki de Salmão,2,,22:05
A5,Temaki Ebiten,1,,22:05
A5,Sorvete de Chocolate,1,,22:05
A5,Heineken,2,,22:05
